prompt,audio_url_a,audio_url_b,model_a,model_b,is_attention_check
This recording contains a short musical melody but can not be labeled a song. The recording is full of creepy low voices and sound effects. This may be playing on a mobile phone videogame.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Q9gWfok9Q5c_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Q9gWfok9Q5c_seg2.wav,SASS,TF-MusicGen,FALSE
The song is an instrumental. The tempo is medium with a horn player playing a traditional animal horn in a single long note which fades out. The song is poignant and emotional. The audio quality is poor.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/yCDloqQe65k_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/yCDloqQe65k_seg2.wav,SASS,TF-MusicGen,FALSE
"This is the recording of a jazz improvisation performance. It is in an instrumental piece performed with a keyboard that utilizes a classical piano sound. The chords are being played gently which creates a calming atmosphere. Due to various chords and lines being played in this performance, parts of it could be lifted to be used as piano samples for a beat. It could also be playing in the background of a restaurant or a jazz bar.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/M4rXhyyvERM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/M4rXhyyvERM_seg2.wav,SASS,TF-MusicGen,FALSE
The low quality recording features a solo still guitar melody. The recording is a bit noisy and it sounds like it is a live performance. There are also some pluck and string sounds as the instruments are being played.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/CZoPTJNmiCw_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/CZoPTJNmiCw_seg2.wav,SASS,TF-MusicGen,FALSE
"A DJ plays a cool groove with some female vocals. The song is medium tempo with a steady drumming rhythm, scratch disc percussions, and percussive bass line. The song is exciting and groovy. The audio quality is average.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/J0t4VMnXDNM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/J0t4VMnXDNM_seg2.wav,SASS,TF-MusicGen,FALSE
This is an amateur music video of a male musician playing a mellow harmony on the banjo with another amateur musician accompanying him on the acoustic guitar. This song has a simple melody but the recording is loud and sharp.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/LH3mAtCou6g_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/LH3mAtCou6g_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a jazz song that consists of shimmering hi hats and ride cymbals, soft kick and snare hits, groovy walking bass and smooth organ keys melody. It sounds easygoing, groovy and warm - almost like a theme song for some old cartoon.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/4TDtUHo5cSE_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/4TDtUHo5cSE_seg2.wav,SASS,TF-MusicGen,FALSE
"A male artist talks and makes drilling noises. The song is a modern hip hop song with male rap vocals, hip hop drumming rhythm, heavy bass drops and keyboard harmony. The track has ambient room noises and the music track is very faint. The audio quality is very average.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/4HfU5OQUqq0_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/4HfU5OQUqq0_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a live performance of salsa music and it consists of flat male vocal talking over microphone, followed by groovy piano melody, some percussive elements, groovy bass and energetic crash cymbals. There are some loud crowd cheering noises and claps. It sounds exciting and energetic.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/OQz8reoVQEI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/OQz8reoVQEI_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a sipping sound effect and some repetitive, weird burping sounds, while the jazz song is playing in the background. It sounds like it is an audio from some cartoon on a TV, as it sounds mono and a bit noisy too - like it was recorded with a phone.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/YpOHemscGCk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/YpOHemscGCk_seg2.wav,SASS,TF-MusicGen,FALSE
"The music contains an energetic female voice which is sharp and clear. It is between rapping and singing. In the background are electronic music effects, at medium to high pitch. The atmosphere is smooth and confident. A drum kit plays a mid tempo pattern and It is very digital sounding.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/cbq6Q2htPRM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/cbq6Q2htPRM_seg2.wav,SASS,TF-MusicGen,FALSE
This amateur recording features a guitar plucking chords. This is accompanied by percussion playing an outro beat. The recording is of low quality. The bass plays one note on the first count of each bar. There are no voices in the song. This song can be played in a highway scene in a movie.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/hLwMYygjRfI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/hLwMYygjRfI_seg2.wav,TF-MusicGen,SASS,FALSE
This is an electronic music piece performed by a DJ. There is a heavy use of the turntable adding the repeated scratching effect. A male voice sample can be heard alongside the scratching. In the backing track there is an electric guitar playing the melody while a simple electronic drum beat provides the rhythmic background.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/q9DzO_I4dXg_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/q9DzO_I4dXg_seg2.wav,SASS,TF-MusicGen,FALSE
This is an Italian folk music piece. It is a live performance recording. There is a mandolin playing the main tune of the piece while an acoustic guitar plays in the melodic background. The atmosphere of the piece is lively. This piece could be used in the soundtrack of a documentary taking place in the Mediterranean region. It could also be used in tourism agency advertisements. Another possible use is as an accompaniment piece for Italian folk dance courses.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/5FlNBuS7YgM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/5FlNBuS7YgM_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a children's song played on some small device that reproduces mono sound. The song consists of a funny male vocal, alongside harmonizing vocals, singing over a shimmering bell melody and some claps. It sounds happy, fun, joyful, muffled and the recording is noisy.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/PduP4CpaDtY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/PduP4CpaDtY_seg2.wav,SASS,TF-MusicGen,FALSE
A male Latin singer sings this romantic melody. The song is medium tempo with an acoustic guitar accompaniment with no other instrumentation. The song is emotional and passionate. The audio quality is poor.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/oxhFIoExrMk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/oxhFIoExrMk_seg2.wav,SASS,TF-MusicGen,FALSE
This clip is a sound of scratching or scraping using binaural sound. The effect is a 3D stereo sound sensation. The sounds are clear and lucid as if hearing it live. This clip is a demonstration of Binaural sounds.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/m9tnNkon_iw_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/m9tnNkon_iw_seg2.wav,TF-MusicGen,SASS,FALSE
Someone is strumming chords on an e-guitar. The e-guitar is slightly out of tune. This song may be playing at home trying out sounds on the e-guitar.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/PB3i02Cjf1k_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/PB3i02Cjf1k_seg2.wav,SASS,TF-MusicGen,FALSE
"The song is an instrumental. The tempo is medium with a cellist playing a virtuoso solo accompanied by a string section harmony, flutes in harmony and a loud banging timpani. The song is spirited and passionate with poor audio quality. The song is a western classical piece.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/yrme-KRBvzk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/yrme-KRBvzk_seg2.wav,SASS,TF-MusicGen,FALSE
Two acoustic guitars are strumming flamenco chords being panned to the left and right side of the speakers. A soft bass is playing subnotes. Percussive instruments are building up tension at the end.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/9EUXyEQZqLo_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/9EUXyEQZqLo_seg2.wav,TF-MusicGen,SASS,FALSE
"A female singer sang this pop melody with female backup singers in vocal harmony. The song is fast tempo with various percussion instruments, but with a steady drumming rhythm, percussive bass line, guitar rhythm and keyboard accompaniment . The song is youthful and a  party dance song. The song's audio quality is poor.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/OEjgIDubFbg_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/OEjgIDubFbg_seg2.wav,SASS,TF-MusicGen,FALSE
Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/y6iMm7Pltq0_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/y6iMm7Pltq0_seg2.wav,TF-MusicGen,SASS,FALSE
"This audio recording features a crickets sound effect, sea waves sound effect and mellow synth pad chords in the background, followed by shimmering tambourine and muffled snare. At the very end of the first section of the loop, there is a short filter modulation riser, after which there is silence. At the very end of the loop there is a soft white noise down sweep. It sounds very relaxing and calming, especially because of the pad and sound effects.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/HWZdPxRzCWs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/HWZdPxRzCWs_seg2.wav,SASS,TF-MusicGen,FALSE
"This music is a cheerful instrumental. The tempo is medium with the lead harmony on a Xylophone, energetic drumming, keyboard accompaniment and rhythmic acoustic guitar. The audio quality is inferior and the music is muffled and muddy. There are background sounds like people talking, laughing and ambient nature sounds like a breeze. The music is fun, youthful, simple, enjoyable, chirpy and vivacious.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/tV3rvUSlVnY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/tV3rvUSlVnY_seg2.wav,SASS,TF-MusicGen,FALSE
"This recording contains synth pads playing in the mid range, with added notes in the higher register playing a slow melody and also a padsound in the lower register serving as bass. The sound of waves and noises rising and falling like wind. Whales are singing at a higher pitch with a lot of reverb. This recording may be playing for a meditation session.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Pq1jBX0RW2k_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Pq1jBX0RW2k_seg2.wav,TF-MusicGen,SASS,FALSE
"The song is an instrumental. The tempo is medium with an accordion player, guitar rhythm, flute player and other percussion playing in harmony. The song is groovy and has gypsy flavour to it. The song audio quality is poor with ambient crowd noises.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/tbovKStEnME_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/tbovKStEnME_seg2.wav,TF-MusicGen,SASS,FALSE
This is a video game theme. There is a cinematic string sound playing the melody while the wind sound effect implies there is a snowstorm. A male choir starts singing alongside orchestral percussive elements. There is an epic atmosphere. This piece could fit well in the soundtrack of a thriller video game where there is a face-off about to happen.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/-o0ZtQIkM60_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/-o0ZtQIkM60_seg2.wav,SASS,TF-MusicGen,FALSE
This music is instrumental. The tempo is slow with a ukelele melody. The musician plays two notes in monotone which sounds like the instrument is being tuned. This clip is a tutorial on how to tune a ukulele.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/7JMN4DdhwsM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/7JMN4DdhwsM_seg2.wav,TF-MusicGen,SASS,FALSE
"A male vocalist sings this mellow pop. The tempo is slow in contrast to the enthusiastic introductory bit in this section. The song is soft, mellow, emotional, repetitive, melancholic, nostalgic and passionate with a soft acoustic guitar accompaniment. This could be a song fade. This song is a Korean Pop/K-Pop song.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/4i1aizhCnfg_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/4i1aizhCnfg_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features an electro song that consists of a punchy kick, shimmering hi hats, echoing stuttering vocal, punchy snare and synth down sweep. It sounds energetic and exciting.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/BUDb8YieUgU_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/BUDb8YieUgU_seg2.wav,TF-MusicGen,SASS,FALSE
"This music is instrumental. The tempo is medium with an electric guitar riff and the voice of a man giving instructions on electric guitar techniques. The music is loud, clear, amplified, vivid, emphatic and powerful. This is a tutorial/ lesson on electric guitar techniques.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/4ls_8xIjBzM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/4ls_8xIjBzM_seg2.wav,SASS,TF-MusicGen,FALSE
"This music is a lively drum instrumental. The tempo is fast with an enthusiastic drum routine. It is loud, rhythmic, catchy and intense.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/xmaVWayBvaY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/xmaVWayBvaY_seg2.wav,TF-MusicGen,SASS,FALSE
"This song has a male vocalist singing a rhythmic vocal riff to the beat of digital drumming followed by the sound of a beep. The percussion is amateur and the vocals are muffled as the audio quality is inferior. The song is slow tempo and the beat is punchy, groovy, buoyant and youthful.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/YZx0_GRtvJk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/YZx0_GRtvJk_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a jazzy song that consists of shimmering hi hats, repetitive cowbell, snappy rimshots and smooth bass in the right channel, short brass stabs and groovy piano chords in the left channel of the stereo image and electric guitar solo melody in the middle. The stereo image of the song is a bit unbalanced, due to the spreadness of low frequency sounds throughout the stereo image. It sounds easygoing and percussive.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/JRfU_hF1wdM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/JRfU_hF1wdM_seg2.wav,TF-MusicGen,SASS,FALSE
The excerpt features bells in different pitches being played/hit by what sounds to be a metallic object. The melody sounded by these bells is simple. There are no other instruments. This sounds like an amateur recording of an uncommon music instrument.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/TnCXmm-v3Ys_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/TnCXmm-v3Ys_seg2.wav,TF-MusicGen,SASS,FALSE
"This music is electronic pop. The tempo is fast with synthesiser arrangements, enthusiastic drumming, a sharp , shrill piano accompaniment and vocal riffs. There is the sound of laughter in the background and distorted sounds caused due to electrical reactance, making the song, noisy, chaotic, confusing, busy and painful to listen to. The song in the background is a Synth pop but it is incoherent because of the inferior audio quality .",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/RIiN9Ed1fqU_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/RIiN9Ed1fqU_seg2.wav,TF-MusicGen,SASS,FALSE
Someone is playing a song out of a speaker. The song contains a guitar melody and a digital drum hitting the bass drum on every beat along with a bass-melody. This is an amateur recording. The song is in very poor audio-quality.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Qz8hNRg-7G0_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Qz8hNRg-7G0_seg2.wav,TF-MusicGen,SASS,FALSE
This techno song features a synth lead playing the main melody. This is accompanied by programmed percussion playing a simple kick focused beat. The hi-hat is accented in an open position on the 3-and count of every bar. The synth plays the bass part with a voicing that sounds like a cello. This techno song can be played in a club.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/KOb-tRHYK68_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/KOb-tRHYK68_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a rock song that consists of electric guitar chords, being played in a video game by plastic guitar, which makes plastic tapping noises. There are also some crowd cheering noises and the recording is very noisy overall.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/GuYRF0no7hw_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/GuYRF0no7hw_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a percussionist playing groovy cowbell over instrumental music playing in the background. It is kind of loud, noisy and the recording is in mono.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/DUmXpq-Cksg_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/DUmXpq-Cksg_seg2.wav,SASS,TF-MusicGen,FALSE
E-guitars are fingerpicking two different melodies in an arpeggio fashion while another distorted e-guitar is playing the main melody along with a -ebass breaking into the next part with the drums playing a loud groove with toms and crash cymbals. Before that part a male voice was talking before breaking into loud screaming in a deeper voice. This song may be playing live at a rock concert.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/dPCj4WhTZ3c_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/dPCj4WhTZ3c_seg2.wav,TF-MusicGen,SASS,FALSE
The low quality recording features a cover of a rock song that consists of repetitive acoustic rhythm guitars chord progressions. The progression is played a bit sloppy and the recording is noisy.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/d0Uz_RnRV88_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/d0Uz_RnRV88_seg2.wav,SASS,TF-MusicGen,FALSE
"The song is an instrumental. The song is medium tempo with an accordion accompaniment, violin solo and a flute melody. The song is beautiful and nostalgic. The audio quality is poor. The song has an old gypsy soul to it.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/0Wdh45yt7tY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/0Wdh45yt7tY_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a theremin solo melody played over playback that has a sustained strings melody playing. It sounds emotional, sad, heartfelt and the recording is noisy and in mono.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/P5AgEqouchI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/P5AgEqouchI_seg2.wav,SASS,TF-MusicGen,FALSE
This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/-0xzrMun0Rs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/-0xzrMun0Rs_seg2.wav,TF-MusicGen,SASS,FALSE
"A male voice is singing loud and soulfully. A saxophone is playing a slight variation of the singer's melody. A piano is playing bluesy/jazzy chord chops accompanied by an electric organ playing along with the melody. Panned to the left side of the speaker, a e-guitar is playing one single chord as a rhythmic element. The e-bass is playing a line along with a simple rimshot and shakers that are barely noticeable. This song may be playing at a live concert.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/dTVkk4GSmNA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/dTVkk4GSmNA_seg2.wav,SASS,TF-MusicGen,FALSE
This instrumental pop song features the main melody played on bells. This is accompanied by percussion playing a simple beat. A tambourine plays continuously in the background and the accents are on the alternate counts when counting 8 in a bar. A ukulele plays chords in the background. An accordion sound is also heard faintly in the background. There are no voices in this song. This song has a happy and uplifting mood. This song can be played in a happy scene in a children's movie.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/nt2rvdC75uY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/nt2rvdC75uY_seg2.wav,SASS,TF-MusicGen,FALSE
"This recording is full of atmospheric sounds that are modulated rising and falling in pitch with liquid klick noises, white noise and a lot of reverb. These sounds are probably created with a synthesizer. A pad sound is playing long notes in the mid range while a soft subbass is underlining the strings. This composition may be playing in an underwater scene in a movie.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/GwxSvUoYSZg_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/GwxSvUoYSZg_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features an onomatopoeia, performed by male vocalists. The recording is noisy and it is crackling.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/UdA6I_tXVHE_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/UdA6I_tXVHE_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a reggae song that consists of passionate male vocals singing over shimmering hi hats, snappy snare, punchy kick, groovy bass, brass melody and funky electric guitar chords. It sounds chill and easygoing.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/L0-l1LIa22g_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/L0-l1LIa22g_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional and hopeful. The recording is a bit noisy and in mono, as it was probably recorded with a phone.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/-nlkWWphiaM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/-nlkWWphiaM_seg2.wav,SASS,TF-MusicGen,FALSE
"This is an instrumental flute music piece. The flute is playing a gentle melody while an acoustic guitar is playing an arpeggio in the background. There is a calming, relaxing atmosphere. This piece would fit perfectly in the background of a meditation video. It could also be used in the soundtrack of a documentary during serene scenery shots.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/fPYxUa1ZVAY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/fPYxUa1ZVAY_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a metal song that consists of a screaming female vocal singing over punchy kick and snare hits, energetic cymbals, groovy bass guitar, wide distorted electric guitars, strings melody and repetitive piano melody. At the very end of the loop, there is a short distorted static sound. It sounds energetic, aggressive and manic.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/BscoQHJrNm8_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/BscoQHJrNm8_seg2.wav,TF-MusicGen,SASS,FALSE
